method,scenario,seed,FAR,SD,AF,AR_ew,AR_ns,SVF,BD,OSR,SC,PAR,theta,OSLI,EUIt,EG,H,reward
DDPG,Energy_Generation_Focus,2,0.9825692176818848,69.375,8.103679656982422,0.7294447422027588,0.6653698086738586,0.6316350102424622,0.1960597038269043,0.3763033151626587,0.6800010204315186,0.1248866021633148,-26.29896545410156,0.5135204195976257,68.49625396728516,2.656277894973755,7.198214530944824,0.7974582446216312
DDPG,Energy_Generation_Focus,3,1.85904598236084,36.93171310424805,10.776216506958008,1.0814993381500244,1.5857048034667969,0.7436255812644958,0.191844955086708,0.3490839004516601,0.7639927864074707,0.1577831506729126,44.98649978637695,8.0,67.70419311523438,2.7680513858795166,7.504048347473144,0.9020873960102962
DDPG,Energy_Generation_Focus,4,1.3595004081726074,55.981201171875,5.282159805297852,0.6652452349662781,1.152202606201172,0.7436255812644958,0.2222156375646591,0.5393455028533936,0.7311462163925171,0.1004827618598938,44.98649978637695,7.797270774841309,69.8824691772461,2.738436698913574,7.638613224029541,0.8626408469561619
DDPG,Energy_Generation_Focus,5,1.3672889471054075,17.61187744140625,6.378680229187012,0.5821444988250732,0.8163954615592957,0.7278063297271729,0.2258029580116272,0.5720995664596558,0.7778114080429077,0.1183625906705856,10.876773834228516,7.416492938995361,67.2633285522461,2.795984983444214,7.816663265228271,0.9451808069840034
DDPG,Energy_Generation_Focus,6,2.0637073516845703,50.72845077514648,7.096662521362305,0.8433400392532349,1.242912530899048,0.6368422508239746,0.2090542316436767,0.2690857350826263,0.7202739119529724,0.1286075264215469,33.94293594360352,6.543565273284912,68.38665008544922,2.7385387420654297,7.644285202026367,0.8853736530602819
DDPG,Energy_Generation_Focus,7,1.3500137329101562,61.45346450805664,7.23229169845581,0.761786162853241,0.7404606938362122,0.7195872068405151,0.2031871825456619,0.5340834259986877,0.7181872725486755,0.1004827618598938,35.89329147338867,8.0,68.01531982421875,2.790812492370605,7.626465320587158,0.921249528024092
DDPG,Energy_Generation_Focus,8,1.739969253540039,42.64676284790039,7.332583427429199,0.5820603370666504,0.691951334476471,0.6358267068862915,0.2136295139789581,0.4398476481437683,0.6315858960151672,0.1263152062892913,-13.656211853027344,6.134179592132568,66.35647583007812,2.840564489364624,7.807404518127441,0.9863418573844708
DDPG,Energy_Generation_Focus,9,1.1696343421936035,67.00228881835938,8.49393081665039,0.8538744449615479,0.8636285066604614,0.7436255812644958,0.2063001692295074,0.5304268598556519,0.7349242568016052,0.1365024000406265,-12.217334747314451,7.680147647857666,68.55315399169922,2.79492449760437,7.548636436462402,0.908073784773235
DDPG,Energy_Generation_Focus,10,1.7584784030914309,69.375,2.5999999046325684,0.7119527459144592,1.0127612352371216,0.7054581046104431,0.2198492586612701,0.4923468828201294,0.6635210514068604,0.1278436034917831,21.94332504272461,5.934420585632324,71.01171112060547,2.6850287914276123,7.501037120819092,0.8071914391792211
DDPG,Energy_Generation_Focus,11,1.232875108718872,63.84245300292969,3.886228561401367,0.3718001246452331,0.6653698086738586,0.6753091812133789,0.2390153110027313,0.4566111266613006,0.6614595651626587,0.1278276592493057,-17.837968826293945,0.978667974472046,69.54962921142578,2.6936755180358887,7.682233810424805,0.8412178470063024
