feature,count,min,q01,q05,q10,q25,median,mean,std,q75,q90,q95,q99,max,record_type,component_index,explained_variance_ratio,cumulative_explained_variance,sample_id,normalized_nearest_neighbor_distance,OSLI
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,206.0,0.16239857782007258,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,207.0,0.12854603658488917,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,208.0,0.27569865777330277,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,209.0,0.26100409881988995,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,210.0,0.20836723912077998,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,211.0,0.157894746234047,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,212.0,0.2495478027385359,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,213.0,0.2419517254570705,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,214.0,0.19639671220259686,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,215.0,0.2679226608201994,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,216.0,0.2256717199630609,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,217.0,0.2178217130044169,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,218.0,0.2262919858350794,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,219.0,0.17842749097474842,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,220.0,0.14126536641588816,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,221.0,0.1524312505194613,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,222.0,0.14885450229583544,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,223.0,0.30176281845525404,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,224.0,0.1180921289909424,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,225.0,0.2369065690912316,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,226.0,0.19710094300900993,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,227.0,0.20559950469816982,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,228.0,0.1932055178692914,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,229.0,0.14694560575843393,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,230.0,0.1614815336389111,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,231.0,0.247173353837554,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,232.0,0.1585800656869807,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,233.0,0.1746411500815382,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,234.0,0.2377638626638102,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,235.0,0.19975180219596528,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,236.0,0.15488086093341127,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,237.0,0.11902273089291791,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,238.0,0.23923229417432887,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,239.0,0.33991176333900913,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,240.0,0.17360750500907543,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,241.0,0.17244779317987194,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,242.0,0.1621699966493719,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,243.0,0.15619521789203816,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,244.0,0.08204550404585627,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,245.0,0.14523590822696197,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,246.0,0.11748287545221929,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,247.0,0.175541773352615,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,248.0,0.134317482916757,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,249.0,0.19155698592943418,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,250.0,0.34877973086076197,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,251.0,0.21051396229139652,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,252.0,0.2625573248745389,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,253.0,0.22608316338950882,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,254.0,0.28832999983548285,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,255.0,0.1953056696782494,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,256.0,0.26177195725448166,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,257.0,0.18381994877326718,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,258.0,0.14946730751373646,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,259.0,0.17680927515061143,
