candidate_index,matched_sample_id,projection_distance,method,scenario,seed,EUIt,EG,H,projected_EUIt,projected_EG,projected_H,group
1858,599,0.2088945993169677,NSGA-II,NSGA-II,20260327,66.00011444091797,2.8497939109802246,7.633778572082519,66.0,2.749315268335103,7.725822269890681,NSGA-II
1859,200,0.2039955510346734,NSGA-II,NSGA-II,20260327,66.00464630126953,2.83129620552063,7.849974632263184,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1860,1509,0.20836733730887,NSGA-II,NSGA-II,20260328,66.8125228881836,2.8499956130981445,7.847696781158447,69.0342623318082,2.541209105182284,7.296942939278815,NSGA-II
1861,1509,0.2103865653618604,NSGA-II,NSGA-II,20260328,66.88172149658203,2.849985122680664,7.849978446960449,69.0342623318082,2.541209105182284,7.296942939278815,NSGA-II
1862,1509,0.2104800450444509,NSGA-II,NSGA-II,20260328,66.88125610351562,2.8499860763549805,7.849948883056641,69.0342623318082,2.541209105182284,7.296942939278815,NSGA-II
1863,1850,0.2091007838196539,NSGA-II,NSGA-II,20260328,66.00000762939453,2.811849594116211,7.660287857055664,68.71399325255588,2.491300190110957,7.170075057877031,NSGA-II
1864,1850,0.2026099126130353,NSGA-II,NSGA-II,20260328,66.0000228881836,2.77583122253418,7.70226240158081,68.71399325255588,2.491300190110957,7.170075057877031,NSGA-II
1865,1509,0.2092225411512271,NSGA-II,NSGA-II,20260328,66.82853698730469,2.8496134281158447,7.84998083114624,69.0342623318082,2.541209105182284,7.296942939278815,NSGA-II
1866,1850,0.2090610121398769,NSGA-II,NSGA-II,20260328,66.00000762939453,2.811898946762085,7.660207271575928,68.71399325255588,2.491300190110957,7.170075057877031,NSGA-II
1867,1091,0.2110169249714889,NSGA-II,NSGA-II,20260328,66.00428009033203,2.8498029708862305,7.844422817230225,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
1868,1509,0.2103774018944829,NSGA-II,NSGA-II,20260328,66.88175201416016,2.849945306777954,7.849983215332031,69.0342623318082,2.541209105182284,7.296942939278815,NSGA-II
1869,1091,0.2083845555104393,NSGA-II,NSGA-II,20260328,66.00423431396484,2.849984645843506,7.841484546661377,67.49772316988475,2.7027769130673605,7.46173681866505,NSGA-II
